iter	RMSE
0	532012.5513
1	498698.6473
2	468744.561
3	447395.9311
4	427659.8278
5	408988.0628
6	392816.8163
7	377495.7545
8	358805.1808
9	347242.5803
10	333521.0626
11	323988.9926
12	318320.3485
13	305321.6508
14	295044.0027
15	287126.4087
16	281643.9267
17	273539.263
18	266022.6387
19	256579.7225
20	248973.4335
21	243464.917
22	235520.8283
23	230430.6425
24	225987.153
25	222483.1986
26	219665.1887
27	216453.2105
28	212277.0612
29	207951.1868
30	202973.9451
31	199640.4078
32	195056.4063
33	192384.5155
34	188947.9325
35	186499.2771
36	184281.6666
37	180006.6364
38	176976.3599
39	176366.3864
40	173902.6852
41	171272.9438
42	169224.1572
43	165334.1879
44	162186.1256
45	159740.5077
46	159125.0951
47	157282.2263
48	155858.8414
49	154496.8361
50	152857.2685
51	150100.0784
52	148637.9318
53	146625.9255
54	145085.5991
55	142860.8923
56	141243.9639
57	140315.0774
58	139212.5821
59	138246.6831
60	137070.7725
61	135757.19
62	134559.6838
63	133849.4626
64	132754.0256
65	130917.6468
66	129988.2986
67	129143.958
68	128004.928
69	127398.088
70	126168.2123
71	124876.3879
72	124097.2558
73	123190.9488
74	122026.1311
75	121159.0776
76	120267.0118
77	119436.5914
78	118492.8464
79	117803.2443
80	116845.0887
81	116077.9162
82	115307.3317
83	114512.525
84	113534.955
85	112560.5551
86	111853.2544
87	110946.2507
88	110043.3245
89	109240.6239
90	108537.9551
91	107781.5672
92	107064.0126
93	106540.6126
94	105886.0772
95	105417.2513
96	104638.0028
97	104081.4767
98	103631.9676
99	103054.7994
100	102540.8757
101	102076.003
102	101524.0169
103	101088.9848
104	100720.6731
105	100200.3866
106	99655.84324
107	98886.7005
108	98219.83392
109	97698.55488
110	96958.44627
111	96479.94586
112	95938.98952
113	95433.55288
114	95058.85767
115	94511.61237
116	94148.33514
117	93539.29389
118	93154.81875
119	92630.87461
120	92170.81683
121	91626.5552
122	91311.42985
123	90950.99314
124	90525.71662
125	89699.17684
126	89091.95824
127	88750.81849
128	88365.08411
129	87943.74452
130	87555.1191
131	87225.82115
132	86938.67868
133	86703.29693
134	86406.56619
135	86104.73113
136	85737.62442
137	85306.78854
138	84968.16637
139	84729.86778
140	84547.64379
141	83879.0854
142	83559.60348
143	83303.73985
144	83090.18666
145	82917.5161
146	82638.58775
147	82435.5225
148	82128.41882
149	81773.77322
150	81349.64132
151	81077.26297
152	80724.43518
153	80382.16817
154	79894.0167
155	79693.41819
156	79376.15932
157	79073.16217
158	78900.37986
159	78619.87372
160	78471.69138
161	78119.87261
162	77936.78893
163	77686.30632
164	77369.40583
165	77046.84411
166	76817.89338
167	76438.74432
168	76201.07528
169	75922.37808
170	75703.09287
171	75464.83738
172	75252.68249
173	75079.45533
174	74902.26137
175	74684.06009
176	74403.50886
177	74169.16441
178	73835.40433
179	73717.29484
180	73524.25562
181	73253.99337
182	73090.91905
183	72840.36529
184	72598.59979
185	72434.97415
186	72206.66012
187	71940.65828
188	71788.36727
189	71615.0394
190	71424.35066
191	71239.37031
192	71031.37398
193	70816.45896
194	70643.94928
195	70445.51615
196	70277.63896
197	70027.8877
198	69892.17753
199	69641.74114
200	69445.8877
201	69338.92899
202	69177.78962
203	69045.43212
204	68941.86133
205	68742.04551
206	68629.39392
207	68533.78761
208	68364.01855
209	68138.47872
210	67925.70113
211	67757.30224
212	67583.49491
213	67456.61553
214	67271.82498
215	67182.986
216	67024.40482
217	66844.36246
218	66547.14704
219	66444.87071
220	66293.10015
221	66128.63174
222	65975.53467
223	65876.88055
224	65755.77613
225	65668.2689
226	65572.49953
227	65428.40288
228	65325.23337
229	65208.18787
230	65115.88466
231	64983.2451
232	64802.52131
233	64584.19509
234	64401.14219
235	64223.48397
236	64065.78727
237	63976.18745
238	63869.75848
239	63692.47289
240	63510.6381
241	63365.02364
242	63234.5852
243	62989.15013
244	62862.63891
245	62733.72723
246	62619.19416
247	62515.48031
248	62353.15913
249	62209.18871
250	62067.65614
251	61937.78386
252	61867.69419
253	61806.63431
254	61687.49096
255	61556.70738
256	61473.5358
257	61309.77189
258	61222.88133
259	61088.69826
260	60926.08302
261	60804.77819
262	60701.10633
263	60588.82041
264	60505.78261
265	60425.43786
266	60318.8668
267	60230.80489
268	60141.64781
269	60037.46065
270	59946.84539
271	59829.39207
272	59730.47444
273	59633.50119
274	59517.55132
275	59414.07932
276	59295.58561
277	59216.88615
278	59050.45433
279	58941.40974
280	58833.73825
281	58738.50132
282	58642.43347
283	58458.32876
284	58336.99096
285	58208.79441
286	58098.34091
287	57964.46068
288	57829.66187
289	57749.14013
290	57606.68015
291	57516.29973
292	57418.2276
293	57335.67592
294	57213.54789
295	57101.32347
296	57000.88202
297	56902.48208
298	56815.02254
299	56758.09678
