iter	Logloss
0	0.5790373861
1	0.4953743896
2	0.4339685588
3	0.3838752441
4	0.3430635905
5	0.3096458415
6	0.2836912272
7	0.264908728
8	0.2510481079
9	0.23813986
10	0.2287254537
11	0.2204701681
12	0.2148029968
13	0.2094455933
14	0.2044787557
15	0.2007540365
16	0.1981221944
17	0.195431958
18	0.1932480998
19	0.191487793
20	0.1901788269
21	0.1889573344
22	0.1877068705
23	0.1866321187
24	0.185466156
25	0.1844246501
26	0.1836803691
27	0.1829940002
28	0.18241415
29	0.1819847331
30	0.1816075623
31	0.1812178548
32	0.1809364644
33	0.180580485
34	0.1802508647
35	0.1799476664
36	0.1796826599
37	0.1795343547
38	0.179261025
39	0.1790522502
40	0.1788836731
41	0.17876262
42	0.1786579773
43	0.1784813456
44	0.1783246969
45	0.178215328
46	0.1780902242
47	0.1779991028
48	0.1778516541
49	0.1776928467
50	0.1776071859
51	0.1775543925
52	0.1774663493
53	0.1773907145
54	0.1773191508
55	0.177181075
56	0.1771375244
57	0.1770806071
58	0.1770509583
59	0.1769816508
60	0.1769117228
61	0.1767978048
62	0.1767459045
63	0.1766988403
64	0.1766377319
65	0.1765844177
66	0.1765381694
67	0.176471582
68	0.1764345581
69	0.1763945109
70	0.1763270284
71	0.1762797424
72	0.1762271729
73	0.1762049011
74	0.176139266
75	0.1760822408
76	0.1760300598
77	0.175975
78	0.175904834
79	0.175872404
80	0.1758319845
81	0.1758052063
82	0.1757664185
83	0.1757326945
84	0.1756929362
85	0.1756523865
86	0.1756211222
87	0.1755705648
88	0.175499113
89	0.175443866
90	0.1753754862
91	0.175321523
92	0.17526309
93	0.1752266296
94	0.1751946798
95	0.1751591532
96	0.1751065837
97	0.1750398824
98	0.1749801758
99	0.1749476929
100	0.1748994141
101	0.1748706726
102	0.1748232157
103	0.1747684408
104	0.1747457987
105	0.1747029073
106	0.1746476461
107	0.1745989604
108	0.1745563843
109	0.1745132446
110	0.1744907247
111	0.1744306071
112	0.1743733195
113	0.1743345418
114	0.1743063721
115	0.1742487915
116	0.1742272705
117	0.1742109884
118	0.1741753316
119	0.1741396749
120	0.1740923136
121	0.1740670247
122	0.1740233297
123	0.1739749797
124	0.1739403971
125	0.1739039937
126	0.1738723511
127	0.1738538452
128	0.1738283671
129	0.1738009623
130	0.1737532064
131	0.1737107035
132	0.173683254
133	0.1736635701
134	0.1736270793
135	0.173576296
136	0.1735533427
137	0.1735091146
138	0.1734709554
139	0.1734458394
140	0.1734070333
141	0.1733875997
142	0.173345343
143	0.1733368937
144	0.1733098104
145	0.1732747742
146	0.1732393778
147	0.1731972412
148	0.1731615051
149	0.1731411092
150	0.173111143
151	0.1730793355
152	0.1730249776
153	0.172971755
154	0.1729395345
155	0.1729147868
156	0.1728662272
157	0.1728532471
158	0.1728360189
159	0.1728082235
160	0.1727611674
161	0.1727341471
162	0.1726993734
163	0.1726795492
164	0.1726374084
165	0.1726082336
166	0.1725905477
167	0.1725410197
168	0.1725044495
169	0.1724670268
170	0.1724357564
171	0.1724193583
172	0.1723684631
173	0.1723143473
174	0.1722632467
175	0.1722458842
176	0.172203481
177	0.1721655701
178	0.1721495748
179	0.1721158732
180	0.1720884237
181	0.1720602905
182	0.1720330831
183	0.1720167887
184	0.1719804606
185	0.1719548787
186	0.1719322205
187	0.1718995646
188	0.1718463888
189	0.1718015828
190	0.1717790202
191	0.1717450155
192	0.1717054342
193	0.1716717265
194	0.1716569661
195	0.1716255961
196	0.17160613
197	0.1715660929
198	0.1715504333
199	0.1715038717
200	0.1714528544
201	0.1714180278
202	0.1713714925
203	0.1713403829
204	0.1713182332
205	0.171291984
206	0.1712594137
207	0.1712370382
208	0.1711953939
209	0.1711746521
210	0.1711403748
211	0.1711059957
212	0.1710882141
213	0.1710594177
214	0.1710341085
215	0.1710034363
216	0.170988442
217	0.1709493612
218	0.1709045329
219	0.1708538228
220	0.1708467773
221	0.1708205383
222	0.1707941488
223	0.1707535339
224	0.170725
225	0.1707003418
226	0.1706892029
227	0.1706654297
228	0.170652124
229	0.1706237488
230	0.1705939006
231	0.1705635213
232	0.170536025
233	0.1704912354
234	0.1704672485
235	0.1704463704
236	0.1704110291
237	0.1703776428
238	0.1703458028
239	0.1703085632
240	0.170282255
241	0.1702384684
242	0.1702161133
243	0.1701896484
244	0.1701652283
245	0.1701596456
246	0.1701184082
247	0.17009151
248	0.1700488363
249	0.1700218404
250	0.1699847819
251	0.1699603984
252	0.1699228963
253	0.1699105184
254	0.1698899841
255	0.1698419108
256	0.1698082804
257	0.1698071574
258	0.1697912048
259	0.1697457845
260	0.1697132955
261	0.169696464
262	0.1696684509
263	0.1696447123
264	0.1696158569
265	0.1695939392
266	0.1695673625
267	0.1695408081
268	0.1695169535
269	0.1694918579
270	0.1694545125
271	0.1694260213
272	0.1693904378
273	0.1693550659
274	0.1693289714
275	0.1692985128
276	0.1692699585
277	0.1692432556
278	0.1692266418
279	0.1692065979
280	0.1691817769
281	0.1691636454
282	0.1691232605
283	0.1691044332
284	0.1690802633
285	0.1690617452
286	0.1690396301
287	0.1690224915
288	0.1689838298
289	0.1689470601
290	0.1689032186
291	0.1688651754
292	0.1688353231
293	0.1688104797
294	0.1687892598
295	0.1687534281
296	0.1687380859
297	0.1687192973
298	0.168687738
299	0.1686683167
300	0.1686518555
301	0.1686312622
302	0.1685932332
303	0.1685529541
304	0.1685245422
305	0.1685041565
306	0.1684742371
307	0.1684481445
308	0.1684074117
309	0.1683770081
310	0.1683610677
311	0.1683454285
312	0.1683328817
313	0.1682992574
314	0.1682660726
315	0.1682290507
316	0.1681941793
317	0.1681575338
318	0.1681305115
319	0.1681019023
320	0.1680699972
321	0.1680259216
322	0.1680005432
323	0.1679696879
324	0.1679571147
325	0.1679287964
326	0.1678980815
327	0.1678843221
328	0.1678494405
329	0.1678317098
330	0.1678159241
331	0.1677834412
332	0.1677510437
333	0.167725887
334	0.1676907064
335	0.1676503743
336	0.1676297424
337	0.1676041138
338	0.1675832397
339	0.1675631246
340	0.1675552572
341	0.1675361064
342	0.1674912577
343	0.1674552999
344	0.1674197449
345	0.1673808675
346	0.1673540548
347	0.1673324666
348	0.1672995728
349	0.1672768819
350	0.1672532247
351	0.1672442037
352	0.1672232218
353	0.1671875854
354	0.1671634176
355	0.1671452759
356	0.167125531
357	0.1670966512
358	0.1670911194
359	0.1670749797
360	0.1670453552
361	0.1670209249
362	0.1669994161
363	0.1669802673
364	0.1669495992
365	0.1669402913
366	0.1669184774
367	0.1668855184
368	0.1668590535
369	0.1668333211
370	0.1668028524
371	0.1667932475
372	0.1667618306
373	0.1667497965
374	0.1667406779
375	0.1667077637
376	0.1666942586
377	0.1666685954
378	0.1666538737
379	0.1666337911
380	0.1666068746
381	0.1665840088
382	0.1665549052
383	0.1665273905
384	0.1665155497
385	0.1664826396
386	0.1664500468
387	0.1664127523
388	0.1663852214
389	0.1663511983
390	0.1663216695
391	0.1662940247
392	0.1662723145
393	0.1662522563
394	0.1662377075
395	0.1662303446
396	0.1661978129
397	0.1661701742
398	0.166150116
399	0.1661358643
400	0.1661066549
401	0.1660901957
402	0.1660519613
403	0.1660151937
404	0.1659950317
405	0.1659652405
406	0.1659504211
407	0.1659330404
408	0.1659143026
409	0.1658906901
410	0.1658553975
411	0.1658384338
412	0.1658125081
413	0.1657795227
414	0.1657641541
415	0.1657443624
416	0.1657304057
417	0.1656993917
418	0.1656797648
419	0.1656550334
420	0.1656276042
421	0.165610022
422	0.1655888265
423	0.1655767232
424	0.1655589132
425	0.1655383321
426	0.1654970846
427	0.1654764893
428	0.1654509135
429	0.1654208333
430	0.1653992655
431	0.1653632792
432	0.1653330404
433	0.1653125712
434	0.1652890869
435	0.1652777059
436	0.1652454366
437	0.1652307393
438	0.165206545
439	0.1651981181
440	0.1651670858
441	0.1651397461
442	0.1651140889
443	0.1650936462
444	0.1650744446
445	0.1650594157
446	0.1650340739
447	0.1649986328
448	0.1649838786
449	0.1649787842
450	0.1649550313
451	0.1649468547
452	0.1649098999
453	0.1648783061
454	0.1648688863
455	0.1648379171
456	0.1648075277
457	0.1647753092
458	0.1647654053
459	0.1647417603
460	0.1647110331
461	0.1646957113
462	0.1646756856
463	0.1646562703
464	0.164631722
465	0.1646184855
466	0.1646069336
467	0.1645783773
468	0.1645634888
469	0.1645329793
470	0.1645058329
471	0.1644738525
472	0.1644626444
473	0.1644247396
474	0.1643948303
475	0.164379012
476	0.1643538106
477	0.1643276693
478	0.1643012187
479	0.1642673523
480	0.1642391378
481	0.1642258036
482	0.1642082703
483	0.1641865336
484	0.1641650187
485	0.1641533651
486	0.1641306071
487	0.1641213481
488	0.1640999471
489	0.1640823181
490	0.1640645142
491	0.164034731
492	0.1640194906
493	0.1639952209
494	0.1639700317
495	0.1639561646
496	0.1639333191
497	0.1639062581
498	0.1638982381
499	0.1638753031
500	0.1638674967
501	0.1638377523
502	0.1638277283
503	0.1638091105
504	0.163798407
505	0.1637704163
506	0.1637619609
507	0.1637291809
508	0.1637078573
509	0.1636755127
510	0.1636566325
511	0.1636304281
512	0.1636193949
513	0.1635988546
514	0.1635658752
515	0.1635344604
516	0.1635178548
517	0.1635023214
518	0.163469696
519	0.163446344
520	0.1634083313
521	0.1634067912
522	0.1633921794
523	0.1633632284
524	0.1633466451
525	0.1633218913
526	0.1633038574
527	0.1632588664
528	0.1632407369
529	0.1632334676
530	0.1632054179
531	0.163174176
532	0.1631562073
533	0.163133016
534	0.1631174255
535	0.1630898295
536	0.1630606079
537	0.1630392741
538	0.1630168172
539	0.1630032654
540	0.1629874919
541	0.1629750753
542	0.1629598531
543	0.1629382751
544	0.1629165059
545	0.1629014872
546	0.1628892151
547	0.1628674784
548	0.1628436605
549	0.162807015
550	0.1627793233
551	0.1627718302
552	0.1627502035
553	0.1627261434
554	0.1626997375
555	0.1626806925
556	0.1626417826
557	0.1626200846
558	0.1625853841
559	0.1625851318
560	0.1625615153
561	0.1625413981
562	0.1625251567
563	0.1624959676
564	0.1624779785
565	0.1624515849
566	0.1624144592
567	0.1623889709
568	0.162385557
569	0.1623558105
570	0.162332723
571	0.1623116964
572	0.1622721069
573	0.1622404236
574	0.1622228495
575	0.1622115051
576	0.1621735067
577	0.1621574727
578	0.1621259949
579	0.1620996908
580	0.1620847371
581	0.1620697205
582	0.1620518311
583	0.1620391703
584	0.1620225016
585	0.1619922139
586	0.161972642
587	0.1619484131
588	0.161929071
589	0.1618979533
590	0.1618943929
591	0.1618651082
592	0.1618448547
593	0.1618225484
594	0.1617982381
595	0.1617713867
596	0.1617636353
597	0.161748407
598	0.1617286723
599	0.1616880595
600	0.1616617778
601	0.1616435852
602	0.1616248006
603	0.161611849
604	0.1615953776
605	0.1615780192
606	0.1615556295
607	0.1615313497
608	0.1615116455
609	0.1614861857
610	0.161471167
611	0.1614476013
612	0.1614205729
613	0.161389091
614	0.1613718343
615	0.1613515157
616	0.161330835
617	0.1613079061
618	0.1612729329
619	0.1612617411
620	0.161244161
621	0.1612312907
622	0.1612081156
623	0.1611952535
624	0.161167865
625	0.1611398519
626	0.1611221313
627	0.1611075175
628	0.1610818929
629	0.1610658346
630	0.1610395732
631	0.1610176473
632	0.1610066081
633	0.1609830465
634	0.1609649129
635	0.1609375814
636	0.1609204346
637	0.1609051615
638	0.1608936178
639	0.1608665466
640	0.1608379476
641	0.1608196248
642	0.1608009521
643	0.1607688497
644	0.1607603414
645	0.1607450419
646	0.1607294942
647	0.1607145304
648	0.160699644
649	0.1606713094
650	0.1606505147
651	0.1606240275
652	0.1605954773
653	0.1605788086
654	0.1605567362
655	0.1605356873
656	0.1605142598
657	0.1604803833
658	0.1604622599
659	0.1604442668
660	0.1604235636
661	0.1604096354
662	0.1603785034
663	0.1603538289
664	0.1603463684
665	0.1603316243
666	0.1603137939
667	0.160301652
668	0.1602899923
669	0.1602738851
670	0.160246165
671	0.1602349182
672	0.1602102112
673	0.1601923116
674	0.1601738546
675	0.1601586243
676	0.1601318095
677	0.1601024394
678	0.1600785482
679	0.1600568929
680	0.1600446187
681	0.1600408122
682	0.1600239237
683	0.1600045064
684	0.159975175
685	0.1599650126
686	0.1599432902
687	0.159927832
688	0.1599046
689	0.1598814657
690	0.1598592611
691	0.159837441
692	0.1598191772
693	0.1598092387
694	0.1597943624
695	0.1597690837
696	0.1597448934
697	0.159721934
698	0.1597035339
699	0.1596803731
700	0.1596633993
701	0.1596446106
702	0.1596244507
703	0.1596065959
704	0.1595878784
705	0.1595681783
706	0.159561322
707	0.159539093
708	0.1595140666
709	0.1594838196
710	0.1594613993
711	0.1594558309
712	0.1594174784
713	0.1593978943
714	0.1593895426
715	0.1593616862
716	0.1593558248
717	0.1593361186
718	0.1593169271
719	0.1592970418
720	0.1592814026
721	0.1592534281
722	0.1592280924
723	0.1592049642
724	0.1591829
725	0.159156248
726	0.1591359009
727	0.1591300802
728	0.1591026774
729	0.1590848633
730	0.1590703451
731	0.1590471802
732	0.1590319092
733	0.1590031047
734	0.1589827209
735	0.158963088
736	0.1589572713
737	0.1589386251
738	0.1589239624
739	0.1589004679
740	0.1589002462
741	0.1588884583
742	0.1588730408
743	0.1588594503
744	0.1588349467
745	0.1588258525
746	0.1588124858
747	0.1587984985
748	0.1587906352
749	0.1587783244
750	0.1587637065
751	0.1587419413
752	0.1587302694
753	0.158725946
754	0.1587127014
755	0.1586971171
756	0.1586808411
757	0.1586585734
758	0.1586433797
759	0.1586289144
760	0.1586039429
761	0.1585853109
762	0.1585620076
763	0.1585465983
764	0.1585366292
765	0.158518632
766	0.1584936666
767	0.1584764364
768	0.1584545247
769	0.1584402018
770	0.1584126607
771	0.1583957194
772	0.1583775208
773	0.1583665873
774	0.1583429484
775	0.1583250692
776	0.1582963399
777	0.1582858622
778	0.1582668009
779	0.158253184
780	0.158231602
781	0.1582112732
782	0.1581950439
783	0.1581701274
784	0.1581522522
785	0.1581323263
786	0.1581154093
787	0.1580895325
788	0.1580652059
789	0.1580382914
790	0.1580192973
791	0.1579993571
792	0.157985319
793	0.1579642395
794	0.1579436544
795	0.1579144206
796	0.1578861287
797	0.1578611898
798	0.1578395467
799	0.1578194763
800	0.1578012614
801	0.1577833191
802	0.1577518778
803	0.1577470581
804	0.1577234904
805	0.157714563
806	0.1576984029
807	0.1576660156
808	0.157650647
809	0.1576264404
810	0.1575978292
811	0.1575825256
812	0.1575737264
813	0.1575472575
814	0.1575126078
815	0.1574926371
816	0.1574811259
817	0.1574548686
818	0.1574333008
819	0.1574031718
820	0.1573687948
821	0.1573527283
822	0.157322522
823	0.157293691
824	0.1572712402
825	0.1572632792
826	0.1572445231
827	0.1572321635
828	0.1572114868
829	0.1572078613
830	0.1571967468
831	0.1571757365
832	0.1571515116
833	0.1571370199
834	0.1571280192
835	0.1571086975
836	0.1570923543
837	0.1570653056
838	0.1570411174
839	0.1570222412
840	0.1570025024
841	0.1569723226
842	0.1569595439
843	0.1569396464
844	0.1569239502
845	0.1569083984
846	0.1568908569
847	0.1568586731
848	0.1568419617
849	0.1568332601
850	0.1568217102
851	0.156808018
852	0.1567923319
853	0.156774821
854	0.1567524353
855	0.1567378031
856	0.1567227926
857	0.1567004964
858	0.156677122
859	0.1566581116
860	0.1566288025
861	0.1566118042
862	0.1565925374
863	0.1565710551
864	0.1565540609
865	0.1565280924
866	0.1565009155
867	0.156478595
868	0.1564603231
869	0.1564427816
870	0.1564312968
871	0.1564078613
872	0.1563783651
873	0.156356309
874	0.1563330383
875	0.156316748
876	0.1563011637
877	0.1562843038
878	0.15625837
879	0.1562332235
880	0.1562155945
881	0.1562000407
882	0.1561858236
883	0.1561625264
884	0.1561577983
885	0.156143396
886	0.1561377848
887	0.156116571
888	0.1561021159
889	0.1561004354
890	0.1560701294
891	0.1560609192
892	0.1560510864
893	0.1560242594
894	0.1560065409
895	0.1559903849
896	0.1559714091
897	0.1559618225
898	0.1559243266
899	0.1559000692
900	0.1558778117
901	0.1558757914
902	0.1558575358
903	0.1558426127
904	0.1558235392
905	0.1558010071
906	0.1557907043
907	0.1557860311
908	0.155770223
909	0.1557639709
910	0.1557407064
911	0.1557190287
912	0.1556987427
913	0.1556901449
914	0.1556637004
915	0.1556536906
916	0.1556386251
917	0.1556217936
918	0.1556001912
919	0.155595166
920	0.1555859945
921	0.155556014
922	0.1555401489
923	0.1555264201
924	0.1555057292
925	0.1554814738
926	0.1554480896
927	0.15542217
928	0.1554026489
929	0.1553848633
930	0.1553675151
931	0.1553535685
932	0.1553270732
933	0.1553062256
934	0.1552921488
935	0.1552769653
936	0.1552561849
937	0.1552395284
938	0.1552237488
939	0.1551978699
940	0.1551801188
941	0.1551485718
942	0.1551255107
943	0.1551124003
944	0.1550831828
945	0.1550702189
946	0.1550642232
947	0.1550442424
948	0.1550155457
949	0.1549937927
950	0.1549839274
951	0.1549505493
952	0.1549308024
953	0.1549179708
954	0.1549004883
955	0.1548885885
956	0.1548697835
957	0.1548550496
958	0.1548296041
959	0.1548200256
960	0.1548052572
961	0.1547881612
962	0.1547610372
963	0.1547398682
964	0.1547232707
