iter	Passed	Remaining
0	65	65901
1	80	40265
2	95	31595
3	113	28190
4	130	25886
5	145	24117
6	157	22404
7	177	21979
8	219	24202
9	275	27303
10	306	27557
11	326	26897
12	347	26416
13	382	26907
14	412	27078
15	430	26495
16	455	26361
17	481	26269
18	502	25959
19	524	25704
20	545	25444
21	564	25090
22	582	24764
23	599	24391
24	615	23989
25	631	23642
26	649	23401
27	663	23028
28	678	22726
29	694	22455
30	708	22139
31	723	21893
32	738	21627
33	754	21432
34	770	21246
35	787	21076
36	802	20894
37	819	20734
38	837	20625
39	860	20654
40	881	20627
41	901	20558
42	917	20428
43	931	20233
44	945	20058
45	961	19948
46	976	19795
47	991	19666
48	1005	19515
49	1022	19421
50	1037	19302
51	1052	19185
52	1069	19102
53	1083	18988
54	1098	18875
55	1116	18827
56	1133	18751
57	1149	18674
58	1162	18546
59	1178	18459
60	1192	18350
61	1205	18244
62	1221	18167
63	1236	18087
64	1252	18013
65	1269	17965
66	1286	17918
67	1303	17864
68	1316	17758
69	1328	17651
70	1342	17560
71	1356	17484
72	1368	17375
73	1380	17279
74	1396	17228
75	1412	17172
76	1424	17081
77	1439	17013
78	1454	16955
79	1468	16882
80	1485	16854
81	1499	16788
82	1515	16740
83	1530	16684
84	1550	16687
85	1565	16642
86	1581	16595
87	1596	16547
88	1612	16506
89	1627	16459
90	1644	16423
91	1658	16367
92	1675	16345
93	1692	16310
94	1711	16304
95	1736	16355
96	1757	16358
97	1771	16305
98	1786	16258
99	1800	16202
100	1815	16159
101	1831	16122
102	1845	16069
103	1860	16032
104	1874	15978
105	1888	15931
106	1901	15869
107	1917	15834
108	1931	15790
109	1942	15720
110	1961	15713
111	1988	15765
112	2005	15741
113	2024	15733
114	2046	15751
115	2065	15740
116	2084	15728
117	2105	15739
118	2123	15722
119	2142	15708
120	2161	15699
121	2178	15679
122	2195	15650
123	2213	15638
124	2228	15599
125	2242	15552
126	2255	15501
127	2273	15484
128	2289	15458
129	2310	15460
130	2324	15421
131	2340	15388
132	2357	15371
133	2374	15346
134	2389	15309
135	2405	15279
136	2420	15247
137	2436	15218
138	2448	15169
139	2464	15140
140	2479	15104
141	2496	15082
142	2512	15057
143	2528	15031
144	2543	14998
145	2560	14977
146	2575	14945
147	2590	14910
148	2607	14891
149	2621	14856
150	2639	14843
151	2657	14827
152	2677	14820
153	2694	14800
154	2710	14774
155	2723	14733
156	2737	14697
157	2749	14650
158	2763	14615
159	2776	14579
160	2790	14542
161	2803	14502
162	2815	14458
163	2825	14405
164	2838	14365
165	2851	14324
166	2867	14304
167	2880	14264
168	2897	14248
169	2916	14239
170	2934	14228
171	2948	14195
172	2962	14164
173	2980	14146
174	2998	14136
175	3016	14120
176	3040	14137
177	3075	14202
178	3105	14241
179	3125	14236
180	3144	14230
181	3157	14190
182	3172	14163
183	3185	14127
184	3200	14097
185	3214	14066
186	3229	14042
187	3247	14025
188	3260	13992
189	3277	13973
190	3293	13950
191	3309	13925
192	3328	13917
193	3365	13980
194	3406	14063
195	3449	14151
196	3466	14129
197	3487	14124
198	3500	14089
199	3518	14075
200	3538	14066
201	3552	14035
202	3568	14009
203	3585	13989
204	3602	13968
205	3620	13953
206	3639	13940
207	3660	13936
208	3684	13943
209	3703	13932
210	3730	13947
211	3748	13932
212	3768	13922
213	3791	13925
214	3817	13937
215	3835	13922
216	3849	13888
217	3864	13861
218	3883	13851
219	3900	13829
220	3914	13798
221	3927	13765
222	3943	13740
223	3966	13740
224	3979	13708
225	3996	13688
226	4014	13669
227	4032	13654
228	4049	13633
229	4066	13613
230	4082	13590
231	4096	13559
232	4115	13548
233	4131	13523
234	4146	13499
235	4166	13489
236	4192	13498
237	4209	13476
238	4226	13456
239	4243	13436
240	4262	13424
241	4274	13389
242	4297	13387
243	4311	13359
244	4327	13336
245	4346	13322
246	4359	13289
247	4373	13260
248	4403	13281
249	4419	13259
250	4433	13229
251	4446	13198
252	4460	13170
253	4478	13154
254	4506	13165
255	4527	13156
256	4560	13185
257	4579	13169
258	4596	13149
259	4622	13156
260	4645	13154
261	4663	13136
262	4701	13175
263	4740	13217
264	4764	13214
265	4790	13219
266	4805	13193
267	4823	13173
268	4840	13155
269	4856	13131
270	4872	13107
271	4888	13084
272	4902	13056
273	4918	13032
274	4932	13003
275	4948	12980
276	4960	12948
277	4975	12921
278	4990	12897
279	5004	12868
280	5019	12843
281	5035	12820
282	5054	12805
283	5069	12779
284	5084	12755
285	5098	12729
286	5113	12703
287	5125	12671
288	5138	12641
289	5152	12614
290	5164	12582
291	5179	12557
292	5195	12537
293	5209	12509
294	5219	12474
295	5231	12441
296	5243	12411
297	5255	12379
298	5269	12353
299	5282	12325
300	5295	12298
301	5308	12270
302	5319	12236
303	5332	12209
304	5346	12182
305	5361	12160
306	5375	12133
307	5388	12106
308	5402	12080
309	5415	12052
310	5426	12022
311	5438	11992
312	5449	11960
313	5460	11930
314	5471	11897
315	5482	11866
316	5492	11833
317	5505	11806
318	5514	11773
319	5526	11744
320	5539	11717
321	5551	11688
322	5562	11659
323	5574	11631
324	5584	11598
325	5596	11570
326	5610	11546
327	5621	11517
328	5633	11489
329	5646	11463
330	5657	11435
331	5669	11407
332	5681	11379
333	5693	11353
334	5705	11325
335	5717	11298
336	5727	11267
337	5738	11239
338	5749	11210
339	5760	11182
340	5773	11156
341	5785	11130
342	5798	11105
343	5811	11082
344	5822	11055
345	5835	11030
346	5847	11003
347	5861	10981
348	5884	10975
349	5898	10954
350	5911	10930
351	5924	10906
352	5938	10883
353	5950	10858
354	5963	10835
355	5979	10816
356	5993	10795
357	6005	10769
358	6020	10750
359	6034	10728
360	6047	10703
361	6057	10676
362	6072	10655
363	6084	10630
364	6094	10602
365	6105	10576
366	6119	10554
367	6131	10529
