iter	Passed	Remaining
0	246	861624
1	250	437898
2	255	297824
3	290	253989
4	294	206198
5	299	174256
6	307	153210
7	311	135838
8	330	128138
9	334	116712
10	389	123663
11	394	114616
12	398	106910
13	404	100602
14	408	94809
15	412	89744
16	416	85286
17	431	83554
18	438	80319
19	443	77132
20	447	74161
21	452	71582
22	457	69147
23	462	66964
24	487	67791
25	493	65875
26	498	64170
27	502	62259
28	504	60405
29	510	59033
30	513	57495
31	516	55970
32	518	54521
33	521	53168
34	530	52546
35	537	51691
36	548	51306
37	558	50857
38	564	50092
39	570	49310
40	574	48475
41	577	47549
42	580	46671
43	589	46276
44	592	45479
45	594	44676
46	598	43936
47	600	43216
48	603	42501
49	605	41807
50	608	41147
51	616	40882
52	619	40276
53	621	39685
54	624	39112
55	631	38840
56	634	38306
57	636	37785
58	639	37280
59	642	36827
60	646	36428
61	649	35989
62	651	35548
63	654	35146
64	662	35004
65	665	34601
66	667	34220
67	670	33837
68	677	33710
69	680	33348
70	683	33006
71	685	32657
72	692	32504
73	695	32179
74	698	31899
75	707	31861
76	711	31609
77	713	31310
78	716	31018
79	723	30943
80	727	30718
81	730	30446
82	733	30181
83	740	30117
84	743	29864
85	745	29611
86	748	29366
87	756	29348
88	760	29129
89	763	28939
90	772	28953
91	776	28751
92	778	28527
93	784	28408
94	787	28220
95	790	28012
96	792	27804
97	795	27611
98	802	27568
99	805	27373
100	807	27184
101	811	27046
102	814	26866
103	817	26686
104	820	26543
105	827	26489
106	830	26333
107	833	26183
108	836	26029
109	842	25979
110	846	25830
111	860	26021
112	865	25941
113	868	25789
114	871	25651
115	875	25528
116	877	25381
117	880	25234
118	883	25089
119	885	24944
120	890	24858
121	892	24723
122	895	24586
123	898	24449
124	900	24317
125	905	24250
126	908	24129
127	911	24000
128	913	23876
129	916	23754
130	921	23686
131	923	23566
132	926	23446
133	928	23327
134	931	23212
135	936	23161
136	939	23074
137	944	23019
138	952	23037
139	958	23008
140	963	22947
141	969	22921
142	971	22815
143	974	22709
144	977	22608
145	982	22576
146	985	22488
147	988	22389
148	990	22287
149	993	22190
150	999	22168
151	1002	22072
152	1004	21976
153	1007	21883
154	1014	21900
155	1017	21815
156	1020	21731
157	1023	21654
158	1029	21624
159	1032	21547
160	1035	21469
161	1037	21382
162	1040	21303
163	1046	21277
164	1048	21199
165	1051	21125
166	1055	21056
167	1059	21022
168	1062	20945
169	1065	20867
170	1068	20796
171	1070	20719
172	1073	20643
173	1076	20586
174	1079	20510
175	1082	20437
176	1084	20362
177	1087	20293
178	1092	20265
179	1094	20194
180	1100	20174
181	1102	20107
182	1107	20078
183	1110	20010
184	1112	19942
185	1115	19877
186	1118	19811
187	1123	19794
188	1126	19732
189	1128	19668
190	1131	19605
191	1134	19541
192	1139	19517
193	1141	19458
194	1144	19395
195	1147	19335
196	1149	19275
197	1154	19256
198	1157	19196
199	1159	19139
200	1162	19083
201	1165	19029
202	1170	19011
203	1173	18955
204	1175	18901
205	1178	18847
206	1181	18792
207	1185	18763
208	1188	18710
209	1190	18656
210	1193	18603
211	1197	18565
212	1199	18513
213	1202	18460
214	1204	18409
215	1209	18387
216	1213	18352
217	1215	18301
218	1218	18251
219	1223	18240
220	1227	18210
221	1229	18161
222	1232	18112
223	1235	18065
224	1238	18031
225	1242	17997
226	1245	17951
227	1247	17904
228	1250	17857
229	1254	17835
230	1259	17817
231	1262	17784
232	1265	17740
233	1267	17693
234	1271	17664
235	1275	17635
236	1277	17591
237	1280	17546
238	1282	17503
239	1286	17477
240	1290	17448
241	1292	17406
242	1295	17365
243	1298	17323
244	1301	17296
245	1305	17268
246	1308	17227
247	1310	17186
248	1314	17157
249	1317	17129
250	1321	17103
251	1324	17066
252	1326	17025
253	1329	16985
254	1332	16961
255	1336	16941
256	1340	16915
257	1345	16905
258	1351	16910
259	1355	16888
260	1364	16929
261	1369	16928
262	1373	16902
263	1375	16865
264	1379	16845
265	1383	16821
266	1386	16785
267	1388	16749
268	1391	16711
269	1394	16685
270	1398	16663
271	1401	16629
272	1403	16594
273	1406	16557
274	1410	16536
275	1413	16515
276	1416	16482
277	1419	16448
278	1421	16415
279	1425	16395
280	1429	16376
281	1432	16343
282	1434	16311
283	1437	16278
284	1441	16261
285	1445	16244
286	1448	16213
287	1450	16181
288	1453	16147
289	1457	16129
290	1461	16113
291	1463	16082
292	1466	16052
293	1469	16020
294	1472	16003
295	1476	15983
296	1479	15953
297	1481	15923
298	1484	15894
299	1488	15876
300	1492	15858
301	1495	15831
302	1497	15802
303	1500	15771
304	1506	15778
305	1509	15758
306	1512	15730
307	1515	15702
308	1519	15691
309	1523	15674
310	1525	15645
311	1528	15617
312	1531	15592
313	1534	15572
314	1538	15556
315	1541	15529
316	1543	15502
317	1546	15479
318	1549	15453
319	1553	15436
320	1555	15408
321	1558	15382
322	1561	15356
323	1564	15334
324	1567	15317
325	1570	15290
326	1573	15264
327	1575	15239
328	1579	15221
329	1583	15208
330	1585	15183
331	1588	15159
332	1591	15135
333	1594	15114
334	1598	15099
335	1600	15075
336	1603	15050
337	1606	15026
338	1609	15011
339	1613	14998
340	1616	14975
341	1619	14951
342	1622	14932
343	1625	14910
344	1628	14896
345	1631	14872
346	1634	14847
347	1636	14824
348	1640	14809
349	1644	14797
350	1646	14774
351	1649	14752
352	1652	14728
353	1656	14717
354	1659	14705
355	1662	14683
356	1665	14659
357	1667	14637
358	1671	14623
359	1675	14617
360	1678	14595
361	1681	14574
362	1684	14555
363	1689	14551
364	1692	14535
365	1694	14513
366	1697	14492
367	1701	14482
368	1706	14482
369	1709	14460
